wl	n	k
0.773	5.66921	2.27442
0.774	5.66971	2.26866
0.775	5.67019	2.26293
0.776	5.67065	2.25722
0.777	5.6711	2.25153
0.778	5.67154	2.24586
0.779	5.67195	2.24022
0.78	5.67236	2.2346
0.781	5.67275	2.229
0.782	5.67312	2.22343
0.783	5.67349	2.21788
0.784	5.67383	2.21235
0.785	5.67417	2.20684
0.786	5.67449	2.20135
0.787	5.67479	2.19589
0.788	5.67509	2.19045
0.789	5.67537	2.18503
0.79	5.67563	2.17963
0.791	5.67589	2.17425
0.792	5.67613	2.1689
0.793	5.67636	2.16356
0.794	5.67658	2.15825
0.795	5.67678	2.15296
0.796	5.67698	2.14769
0.797	5.67716	2.14244
0.798	5.67733	2.13722
0.799	5.67749	2.13201
0.8	5.67763	2.12683
0.801	5.67777	2.12166
0.802	5.67789	2.11652
0.803	5.67801	2.1114
0.804	5.67811	2.1063
0.805	5.67821	2.10122
0.806	5.67829	2.09616
0.807	5.67836	2.09112
0.808	5.67842	2.0861
0.809	5.67847	2.0811
0.81	5.67852	2.07612
0.811	5.67855	2.07116
0.812	5.67857	2.06623
0.813	5.67858	2.06131
0.814	5.67859	2.05641
0.815	5.67858	2.05153
0.816	5.67857	2.04667
0.817	5.67855	2.04183
0.818	5.67851	2.03701
0.819	5.67847	2.03221
0.82	5.67842	2.02743
0.821	5.67837	2.02266
0.822	5.6783	2.01792
0.823	5.67823	2.0132
0.824	5.67814	2.00849
0.825	5.67805	2.00381
0.826	5.67796	1.99914
0.827	5.67785	1.99449
0.828	5.67774	1.98986
0.829	5.67761	1.98525
0.83	5.67749	1.98066
0.831	5.67735	1.97608
0.832	5.67721	1.97153
0.833	5.67706	1.96699
0.834	5.6769	1.96247
0.835	5.67673	1.95797
0.836	5.67656	1.95348
0.837	5.67639	1.94902
0.838	5.6762	1.94457
0.839	5.67601	1.94014
0.84	5.67581	1.93573
0.841	5.67561	1.93133
0.842	5.6754	1.92695
0.843	5.67518	1.92259
0.844	5.67496	1.91825
0.845	5.67473	1.91393
0.846	5.6745	1.90962
0.847	5.67426	1.90533
0.848	5.67401	1.90105
0.849	5.67376	1.8968
0.85	5.6735	1.89256
0.851	5.67324	1.88833
0.852	5.67297	1.88412
0.853	5.6727	1.87993
0.854	5.67242	1.87576
0.855	5.67214	1.8716
0.856	5.67185	1.86746
0.857	5.67156	1.86334
0.858	5.67126	1.85923
0.859	5.67096	1.85514
0.86	5.67065	1.85106
0.861	5.67034	1.847
0.862	5.67002	1.84296
0.863	5.6697	1.83893
0.864	5.66937	1.83491
0.865	5.66904	1.83092
0.866	5.66871	1.82694
0.867	5.66837	1.82297
0.868	5.66802	1.81902
0.869	5.66768	1.81508
0.87	5.66733	1.81116
0.871	5.66697	1.80726
0.872	5.66661	1.80337
0.873	5.66625	1.79949
0.874	5.66588	1.79563
0.875	5.66551	1.79179
0.876	5.66514	1.78796
0.877	5.66476	1.78414
0.878	5.66438	1.78034
0.879	5.66399	1.77656
0.88	5.6636	1.77279
0.881	5.66321	1.76903
0.882	5.66281	1.76529
0.883	5.66242	1.76156
0.884	5.66201	1.75785
0.885	5.66161	1.75415
0.886	5.6612	1.75046
0.887	5.66079	1.74679
0.888	5.66038	1.74313
0.889	5.65996	1.73949
0.89	5.65954	1.73586
0.891	5.65912	1.73224
0.892	5.65869	1.72864
0.893	5.65826	1.72505
0.894	5.65783	1.72148
0.895	5.6574	1.71791
0.896	5.65696	1.71437
0.897	5.65652	1.71083
0.898	5.65608	1.70731
0.899	5.65563	1.7038
0.9	5.65519	1.70031
0.901	5.65474	1.69683
0.902	5.65429	1.69336
0.903	5.65383	1.6899
0.904	5.65338	1.68646
0.905	5.65292	1.68303
0.906	5.65246	1.67961
0.907	5.652	1.67621
0.908	5.65153	1.67281
0.909	5.65107	1.66943
0.91	5.6506	1.66607
0.911	5.65013	1.66271
0.912	5.64966	1.65937
0.913	5.64918	1.65604
0.914	5.64871	1.65272
0.915	5.64823	1.64942
0.916	5.64775	1.64612
0.917	5.64727	1.64284
0.918	5.64678	1.63957
0.919	5.6463	1.63632
0.92	5.64581	1.63307
0.921	5.64532	1.62984
0.922	5.64483	1.62662
0.923	5.64434	1.62341
0.924	5.64385	1.62021
0.925	5.64336	1.61702
0.926	5.64286	1.61385
0.927	5.64236	1.61068
0.928	5.64186	1.60753
0.929	5.64136	1.60439
0.93	5.64086	1.60126
0.931	5.64036	1.59815
0.932	5.63986	1.59504
0.933	5.63935	1.59194
0.934	5.63885	1.58886
0.935	5.63834	1.58579
0.936	5.63783	1.58272
0.937	5.63732	1.57967
0.938	5.63681	1.57663
0.939	5.6363	1.5736
0.94	5.63579	1.57058
0.941	5.63527	1.56757
0.942	5.63476	1.56458
0.943	5.63424	1.56159
0.944	5.63372	1.55861
0.945	5.63321	1.55565
0.946	5.63269	1.55269
0.947	5.63217	1.54975
0.948	5.63165	1.54681
0.949	5.63113	1.54389
0.95	5.6306	1.54097
0.951	5.63008	1.53807
0.952	5.62956	1.53518
0.953	5.62903	1.53229
0.954	5.62851	1.52942
0.955	5.62798	1.52656
0.956	5.62746	1.5237
0.957	5.62693	1.52086
0.958	5.6264	1.51802
0.959	5.62588	1.5152
0.96	5.62535	1.51239
0.961	5.62482	1.50958
0.962	5.62429	1.50679
0.963	5.62376	1.504
0.964	5.62323	1.50123
0.965	5.6227	1.49846
0.966	5.62216	1.4957
0.967	5.62163	1.49296
0.968	5.6211	1.49022
0.969	5.62057	1.48749
0.97	5.62003	1.48477
0.971	5.6195	1.48206
0.972	5.61897	1.47936
0.973	5.61843	1.47667
0.974	5.6179	1.47398
0.975	5.61736	1.47131
0.976	5.61683	1.46865
0.977	5.61629	1.46599
0.978	5.61575	1.46335
0.979	5.61522	1.46071
0.98	5.61468	1.45808
0.981	5.61415	1.45546
0.982	5.61361	1.45285
0.983	5.61307	1.45025
0.984	5.61254	1.44765
0.985	5.612	1.44507
0.986	5.61146	1.44249
0.987	5.61092	1.43992
0.988	5.61039	1.43736
0.989	5.60985	1.43481
0.99	5.60931	1.43227
0.991	5.60877	1.42974
0.992	5.60824	1.42721
0.993	5.6077	1.42469
0.994	5.60716	1.42218
0.995	5.60662	1.41968
0.996	5.60608	1.41719
0.997	5.60555	1.41471
0.998	5.60501	1.41223
0.999	5.60447	1.40976
1	5.60393	1.4073
1.005	5.60124	1.39512
1.01	5.59856	1.38313
1.015	5.59588	1.37133
1.02	5.5932	1.35972
1.025	5.59053	1.3483
1.03	5.58787	1.33705
1.035	5.58522	1.32597
1.04	5.58258	1.31506
1.045	5.57994	1.30432
1.05	5.57732	1.29375
1.055	5.57471	1.28333
1.06	5.57211	1.27306
1.065	5.56952	1.26295
1.07	5.56695	1.25298
1.075	5.56439	1.24316
1.08	5.56185	1.23348
1.085	5.55932	1.22395
1.09	5.5568	1.21454
